trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,True,"{'a': 0.35, 'e': 0.0}",20,14,10.575415236006775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.35, 'e': 0.0}",25,18,12.402841224324446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.35, 'e': 0.0}",30,19,18.50717127317509,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.35, 'e': 0.0}",25,5,28.37864462966666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0.35, 'e': 0.0}",20,9,20.344394176568766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0.35, 'e': 0.0}",25,8,25.880446562823902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0.35, 'e': 0.0}",25,7,32.51680797132142,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.35, 'e': 0.0}",20,7,24.627077786502607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.35, 'e': 0.0}",30,15,29.277009473966533,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.35, 'e': 0.0}",25,13,23.079776209920084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0.35, 'e': 0.0}",20,9,23.223676836623394,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0.35, 'e': 0.0}",20,10,18.326149989905282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0.35, 'e': 0.0}",25,14,21.72372045556475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0.35, 'e': 0.0}",30,18,20.858655910779657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0.35, 'e': 0.0}",20,7,22.53316250036093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0.35, 'e': 0.0}",20,16,6.783643777646858,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
