trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-137.48526829033395,"{0: 12, 1: 1, 2: 9, 3: 3, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",35,0,-169.6324708223761,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-78.24288303680464,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-13.663881944321238,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,0,-94.18333254859557,"{0: 21, 1: 0, 2: 6, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-126.38021062434454,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,12,-13.542701311128557,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-113.65678644627198,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-101.06933399713583,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-121.92013504817108,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-32.0930958345163,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-65.40860185518486,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-100.71014185874998,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,12,-19.00716137435253,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,0,-88.82696478860908,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,3,-144.24600569675474,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 3}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-78.03001480152615,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,16,-8.041557470845753,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-9.333528865848892,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-35.76800568065137,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,15,-0.12326545211416784,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-12.947122021350712,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,0,-250.7851647315302,"{0: 18, 1: 5, 2: 6, 3: 3, 4: 3}",0
